90NX05W1-M01JM0,B9403CVAR-KM7310X,ASUS ExpertBook B9,The epitome of sustainable excellence,"- 0.98 kg magnesium-lithium packs a 14″ 3K OLED and 63 Wh battery for all-day productivity
- Toppest business-grade security with NFC login, TPM 2.0, remote lock, and Nano slot
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",https://drive.google.com/drive/folders/1MvV_Vh93wLx0jRn0iXCBbS1T_5Efk8wi?usp=drive_link,,90NX05W1-M01JM0,B9403CVAR-KM7310X,VSNX05W1-BU1001,"Intel® Core™ 7 Processor 150U 1.8 GHz (12MB Cache, up to 5.4 GHz, 10 Cores)",LPDDR5X 32GB ( 32GB LPDDR5X on board ),1TB 2280 PCIE G4 (PERFORMANCE) SSD,Intel® Graphics,"Windows 11 Pro
1-month trial for new Microsoft 365 customers. Credit card required.",M365 FREE TRIAL 30D(WW),"LCD Cover: Star Black, Mg-Li
Top Case: Star Black, Mg-Li",1x M.2 2280 PCIe 4.0x4,"Front: 1080p FHD camera with IR function to support Windows Hello
Rear: -
With privacy shutter
World-Facing: -","Dolby Atmos
Smart Amp Technology
Built-in speaker
Built-in array microphone",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x micro HDMI (RJ45 lan)
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack","FingerPrint
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor
IR webcam with Windows Hello support
Kensington Nano Security Slot™(6x 2.5mm)
NFC","Micro HDMI to RJ45 gigabit ethernet adapter
Sleeve
Wireless optical mouse",14.0,OLED(90Hz)-Narrow border,400nits(HDR),WQXGA+(WQ+) 2880X1800 16:10,Glare,DCI-P3:100%,non-Touch,,"ID,1Y ON-SITE(ADP)+2Y ON-SITE",0.977 Kg,0.75,"31.10 x 21.50 x 1.57 ~ 1.69 cm (12.24"" x 8.46"" x 0.62"" ~ 0.67"")","63WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",Support NumberPad,MCAFEE_30D,Backlit Chiclet Keyboard,"W/FINGERPRINT,NFC","EPEAT Gold with Climate+
Energy star 8.0
FSC Mix
RoHS
REACH",US MIL-STD 810H military-grade standard,,OLED,,,,,,,,,,,,,,,,,,,
90NX08E1-M001B0,P3405CVA-LY7110WS,ASUS ExpertBook P3,"Productivity, leveled up","- Revolutionary 16:10 immersive display with more usable space and ultra-slim bezels
- Dual SO-DIMM and dual SSD design for easy upgrades and long-term flexibility
- Worry-free durability with a 3-year international warranty and tested military-grade toughness",https://drive.google.com/drive/folders/1uABGMHKXPc0DTfZTSyuzf-zVodf0b1OK?usp=drive_link,,90NX08E1-M001B0,P3405CVA-LY7110WS,VSNX08E1-BU101B,"Intel® Core™ i7-13620H Processor 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 cores, 16 Threads)",DDR5 16GB ( 16GB DDR5 SO-DIMM ),1TB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Home - ASUS recommends Windows 11 Pro for business
Microsoft Office Home 2024
Microsoft 365 Basic",OFFICE HOME2024(ID)+M365 BASIC,"LCD Cover: Misty Grey, Aluminum
Top Case: Misty Grey, Aluminum","2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4","Front: 1080p FHD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Smart Amp Technology
Built-in speaker
Built-in array microphone",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS Integrity Measurement Support
BIOS Protection Support
BIOS Self Recovery
BIOS setup user password
CSME BIOS Redundancy Assistance
Enhanced Password Strength
HDD User Password Protection and Security
Intel CSME Firmware Resilience
Intel® BIOS Guard
Intel® Boot Guard
Microsoft Secured-core PC
Microsoft Security Level 2
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor integrated with Power Key
Kensington Nano Security Slot™(6x 2.5mm)",Backpack,14.0,LED Back-lit-Narrow border,300nits,WUXGA(WU) 1920X1200 16:10,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.422 Kg,1.23,"31.51 x 22.68 x 1.79 ~ 1.80 cm (12.41"" x 8.93"" x 0.70"" ~ 0.71"")","50WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,MCAFEE_1Y (S1),Backlit Chiclet Keyboard,W/FINGERPRINT,"EPEAT Gold with Climate+
Energy star 8.0
FSC Recycled
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX0971-M004D0,PM3406CKA-NZ7310WS,ASUS ExpertBook P3,"Productivity, leveled up","- Revolutionary 16:10 immersive display with more usable space and ultra-slim bezels
- Dual SO-DIMM and dual SSD design for easy upgrades and long-term flexibility
- Worry-free durability with a 3-year international warranty and tested military-grade toughness",,,90NX0971-M004D0,PM3406CKA-NZ7310WS,VSNX0971-BU2001,"AMD Ryzen™AI 7 350 Processor 2.0GHz (16MB Cache, up to 5.0 GHz, 8 cores)
NPU 50 TOPs",DDR5 32GB ( 32GB DDR5 SO-DIMM ),1TB 2280 PCIE G4 SSD,AMD Radeon™ Graphics,"Windows 11 Home - ASUS recommends Windows 11 Pro for business
Microsoft Office Home 2024
Microsoft 365 Basic",OFFICE HOME2024(ID)+M365 BASIC,"LCD Cover: Misty Grey, Aluminum
Top Case: Misty Grey, Aluminum","2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4","Front: 1080p FHD camera with IR function to support Windows Hello
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Smart Amp Technology
Built-in speaker
Built-in array microphone",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Integrity Measurement Support
BIOS Self Recovery
Microsoft Secured-core PC
Microsoft Security Level 3
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor integrated with Power Key
IR webcam with Windows Hello support
Kensington Nano Security Slot™(6x 2.5mm)",Backpack,14.0,LED Back-lit(144Hz)-Narrow border,400nits,WQXGA(WQ) 2560X1600 16:10,Anti-Glare,sRGB 100%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.42 Kg,1.16,"31.27 x 22.71 x 1.79 ~ 1.80 cm (12.31"" x 8.94"" x 0.70"" ~ 0.71"")","70WHrs, 4S1P, 4-cell Li-ion","TYPE-C, 90W AC Adapter, Output: 20V DC, 4.5A, 90W, Input: 100~240V AC 50/60Hz universal",,MCAFEE_1Y (S1),Backlit Chiclet Keyboard,W/FINGERPRINT,FSC Recycled,US MIL-STD 810H military-grade standard,AMD Ryzen™ AI over 40 TOPs,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX0881-M00T20,P1503CVA-S73850WS,ASUS ExpertBook P1,Trusted by IT Experts. Built for Worry-Free Business.,"- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",https://drive.google.com/drive/folders/17rEyrs1z5jf2jy2ysWEHeGG_DWBeqWK2?usp=drive_link,,90NX0881-M00T20,P1503CVA-S73850WS,VSNX0881-BU2021,"Intel® Core™ i3-1315U Processor 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 cores, 8 Threads)",DDR5 8GB ( 8GB DDR5 SO-DIMM ),512GB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Home - ASUS recommends Windows 11 Pro for business
Microsoft Office Home 2024
Microsoft 365 Basic",OFFICE HOME2024(ID)+M365 BASIC,"LCD Cover: Misty Grey, Plastic
Top Case: Misty Grey, Plastic","2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4","Front: 720p HD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker
Built-in array microphone",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 3840x2160p/30Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor intergrated with Touchpad
Kensington Nano Security Slot™(6x 2.5mm)",Backpack,15.6,LED Back-lit-Narrow border,300nits ,FHD 1920X1080 16:9,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.62 Kg,1.435,"35.95 x 23.22 x 1.99 ~ 1.99 cm (14.15"" x 9.14"" x 0.78"" ~ 0.78"")","42WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,MCAFEE_1Y (S1),Chiclet Keyboard with Num-key,W/FINGERPRINT,"EPEAT Gold with Climate+
Energy star 8.0
FSC Recycled
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX09C1-M002H0,PM1403CDA-S65850WS,ASUS ExpertBook P1,Trusted by IT Experts. Built for Worry-Free Business.,"- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",,,90NX09C1-M002H0,PM1403CDA-S65850WS,VSNX09C1-BU1000,"AMD Ryzen™ 5 7535HS Processor 3.3GHz (16MB Cache, up to 4.55 GHz, 6 cores, 12 Threads)",DDR5 8GB ( 8GB DDR5 SO-DIMM ),512GB 2280 PCIE G4 SSD,AMD Radeon™ Graphics,"Windows 11 Home - ASUS recommends Windows 11 Pro for business
Microsoft Office Home 2024
Microsoft 365 Basic",OFFICE HOME2024(ID)+M365 BASIC,"LCD Cover: Misty Grey, Plastic
Top Case: Misty Grey, Plastic","2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4","Front: 720p HD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker
Built-in array microphone",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","-
BIOS Booting User Password Protection
BIOS Integrity Measurement Support
BIOS Self Recovery
BIOS setup user password
CSME BIOS Redundancy Assistance
Enhanced Password Strength
HDD User Password Protection and Security
Microsoft Security Level 2
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Kensington Nano Security Slot™(6x 2.5mm)",Backpack,14.0,LED Back-lit-Narrow border,300nits,FHD 1920X1080 16:9,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.397 Kg,1.205,"32.45 x 21.44 x 1.97 ~ 1.97 cm (12.78"" x 8.44"" x 0.78"" ~ 0.78"")","50WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,MCAFEE_1Y (S1),Chiclet Keyboard,W/FINGERPRINT,"EPEAT Gold with Climate+
Energy star 8.0
FSC Recycled
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX07K1-M00080,BG1408CVA-EB5850X,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,"- Dual USB-C (PD/DP) with RJ-45, HDMI, USB-A—one cable powers and displays
- Tool-less access to an open SO-DIMM and M.2 slot enables rapid RAM or SSD upgrades
- 3-year warranty plus MIL-STD-810H toughness ensure built-in long-term reliability",https://drive.google.com/drive/folders/1lX1_SUKzJ9KP97N9DviMHcC14Har73PH?usp=drive_link,,90NX07K1-M00080,BG1408CVA-EB5850X,VSNX07K1-BU1000,"Intel® Core™ i5-1335U Processor 1.3GHz (12M Cache, up to 4.6GHz, 10 cores)",DDR4 8GB ( 8GB DDR4 on board ),512GB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Pro
1-month trial for new Microsoft 365 customers. Credit card required.",M365 FREE TRIAL 30D(WW),"LCD Cover: Star Black, Plastic
Top Case: Star Black, Plastic","1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4","Front: 720p HD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 1920x1080p/60Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor intergrated with Touchpad
Kensington Nano Security Slot™(6x 2.5mm)","Backpack
Carry bag
USB-C to USB-C cable",14.0,LED Back-lit-Narrow border,250nits,FHD 1920X1080 16:9,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.469 Kg,1.305,"32.69 x 21.45 x 1.99 ~ 1.99 cm (12.87"" x 8.44"" x 0.78"" ~ 0.78"")","42WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,N/A,Backlit Chiclet Keyboard,W/FINGERPRINT,"EPEAT Gold
Energy star 8.0
FSC Mix
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX07K1-M00030,BG1408CVA-EB7110X,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,"- Dual USB-C (PD/DP) with RJ-45, HDMI, USB-A—one cable powers and displays
- Tool-less access to an open SO-DIMM and M.2 slot enables rapid RAM or SSD upgrades
- 3-year warranty plus MIL-STD-810H toughness ensure built-in long-term reliability",https://drive.google.com/drive/folders/14yZk9apNE90oxqtLY38koKiIvqNbk3Z6?usp=drive_link,,90NX07K1-M00030,BG1408CVA-EB7110X,VSNX07K1-BU1000,"Intel® Core™ i7-1355U Processor 1.7 GHz (12MB Cache, up to 5.0 GHz, 10 cores, 12 Threads)",DDR4 16GB ( 16GB DDR4 on board ),1TB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Pro
1-month trial for new Microsoft 365 customers. Credit card required.",M365 FREE TRIAL 30D(WW),"LCD Cover: Star Black, Plastic
Top Case: Star Black, Plastic","1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4","Front: 720p HD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 1920x1080p/60Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor intergrated with Touchpad
Kensington Nano Security Slot™(6x 2.5mm)","Backpack
Carry bag
USB-C to USB-C cable",14.0,LED Back-lit-Narrow border,250nits,FHD 1920X1080 16:9,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.469 Kg,1.305,"32.69 x 21.45 x 1.99 ~ 1.99 cm (12.87"" x 8.44"" x 0.78"" ~ 0.78"")","42WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,N/A,Backlit Chiclet Keyboard,W/FINGERPRINT,"EPEAT Gold
Energy star 8.0
FSC Mix
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX04V1-M00J30,B7402FBA-LA7311X,ASUS ExpertBook B7 Flip,"Work unbounded, with 5G connectivity","- 360° flip touchscreen with ASUS Pen support
- Ultralight at 1.24 kg and powered all day by a 63 Wh battery
- Smart card reader plus twin SO-DIMM slots up to 64G RAM, and a M.2 bay up to 2 TB SSD keep connected and upgrade-ready",https://drive.google.com/drive/folders/1cVPRk9-10dKbHS_DYUhNKNmpZnoG_Djy?usp=drive_link,,90NX04V1-M00J30,B7402FBA-LA7311X,VSNX04V1-BU2011,"Intel® Core™ i7-1260P Processor 2.1 GHz (18M Cache, up to 4.7 GHz, 12 cores)",DDR5 32GB ( 16GB DDR5 SO-DIMM *2 ),1TB 2280 PCIE G4 (PERFORMANCE) SSD,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),"Windows 11 Pro
1-month trial for new Microsoft 365 customers. Credit card required.",MICROSOFT 365 FREE TRIAL 30D,"LCD Cover: Star Black, Mg-Al
Top Case: Star Black, Mg-Al","2x DDR5 SO-DIMM slots
1x M.2 2280 PCIe 4.0x4","Front: 720p HD camera with IR function to support Windows Hello
Rear: -
With privacy shutter
World-Facing: -","Dolby Atmos
Smart Amp Technology
Built-in speaker
Built-in array microphone",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"2x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x mini DisplayPort
1x HDMI 2.0b
1x micro HDMI (RJ45 lan)
1x 3.5mm Combo Audio Jack
SIM card slot
Smart card reader","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor integrated with Power Key
IR webcam with Windows Hello support
Kensington Nano Security Slot™(6x 2.5mm)
NFC","Backpack
Micro HDMI to RJ45 gigabit ethernet adapter
MPP 2.0 ASUS Pen
Wireless optical mouse",14.0,LED Back-lit-Narrow border,500nits,WUXGA(WU) 1920X1200 16:10,Anti-Glare,sRGB 100%,Touch(OGM),Wide View+Privacy,"ID,1Y ON-SITE(ADP)+2Y ON-SITE",0.227 Kg,1.24,"32.00 x 23.42 x 1.80 ~ 1.89 cm (12.60"" x 9.22"" x 0.71"" ~ 0.74"")","63WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",Support NumberPad,N/A,Backlit Chiclet Keyboard,"W/FINGERPRINT,NFC,SMART CARD","EPEAT Gold
Energy star 8.0
FSC Mix
RoHS",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX04U1-M004P0,B6602FC2-MH7310X,ASUS ExpertBook B6 Flip,"Work strong, stay flexible.","- Mobile work station with stylus: Core i7 HX vPro and RTX A2000 drive 3D, AI, BIM workloads
- 16″ 360° flip touchscreen, showing 2.5K 500nits with 100 % DCI-P3
- 4 DDR5 slots up to 128G RAM and 2 M.2 bays support up to 4TB storage",https://drive.google.com/drive/folders/1Dm7-nV2JIynNkxE4ttfTJveg-87FhmSI?usp=drive_link,,90NX04U1-M004P0,B6602FC2-MH7310X,VSNX04U1-BU1000,"Intel® Core™ i7-12850HX vPro® Processor 2.1 GHz (25M Cache, up to 4.8 GHz, 16 cores)",DDR5 32GB ( 16GB DDR5 SO-DIMM *2 ),1TB 2280 PCIE G4 (PERFORMANCE) SSD,NVIDIA® Quadro® RTX A2000 8GB ( 8GB GDDR6 ),"Windows 11 Pro
1-month trial for new Microsoft 365 customers. Credit card required.",MICROSOFT 365 FREE TRIAL 30D,"LCD Cover: Star Black, Plastic
Top Case: Star Black, Mg-Al","4 x DDR5 SO-DIMM slots
2x M.2 2280 PCIe 4.0x4","Front: 1080p FHD camera with IR function to support Windows Hello
Rear: -
With privacy shutter
World-Facing: -","Dolby Atmos
Smart Amp Technology
Built-in speaker
Built-in array microphone",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card (Vpro),"2x USB 3.1 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.0b
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
1x DC-in
Smart card reader","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor integrated with Power Key
IR webcam with Windows Hello support
Kensington Nano Security Slot™(6x 2.5mm)","Backpack
MPP 2.0 ASUS Pen",16.0,LED Back-lit(120Hz)-Narrow border,500nits(HDR),WQXGA(WQ) 2560X1600 16:10,Anti-Glare,DCI-P3:100%,Touch(OGM),Wide View,"ID,1Y ON-SITE(ADP)+2Y ON-SITE",0.352 Kg,2.5,"38.30 x 27.20 x 2.70 ~ 2.70 cm (15.08"" x 10.71"" x 1.06"" ~ 1.06"")","90WHrs, 4S1P, 4-cell Li-ion","ø6.0, 240W AC Adapter, Output: 20V DC, 12A, 240W, Input: 100~240V AC 50/60Hz universal",,N/A,Backlit Chiclet Keyboard with Num-key,"W/FINGERPRINT,SMART CARD","EPEAT Gold
Energy star 8.0
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX0871-M00H60,P1403CVA-S67150WS,ASUS ExpertBook P1,Trusted by IT Experts. Built for Worry-Free Business.,"- Ultra-light at just 1.4 kg — effortless to carry, perfect for life on the move
- Flexible and future-ready with dual SO-DIMM, dual M.2, and easy upgrade options
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",https://drive.google.com/drive/folders/1E5hlj5BFxJWjf4yuNotbY1PUl-I0H4Js?usp=drive_link,,90NX0871-M00H60,P1403CVA-S67150WS,VSNX0871-BUC040,"Intel® Core™ i7-13700H Processor 2.4 GHz (24MB Cache, up to 5.0 GHz, 14 cores, 20 Threads)",DDR5 16GB ( 16GB DDR5 SO-DIMM ),512GB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Home - ASUS recommends Windows 11 Pro for business
Microsoft Office Home 2024
Microsoft 365 Basic",OFFICE HOME2024(ID)+M365 BASIC,"LCD Cover: Misty Grey, Plastic
Top Case: Misty Grey, Plastic","2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4","Front: 720p HD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker
Built-in array microphone",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor intergrated with Touchpad
Kensington Nano Security Slot™(6x 2.5mm)",Backpack,14.0,LED Back-lit-Narrow border,300nits,FHD 1920X1080 16:9,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.447 Kg,1.255,"32.45 x 21.44 x 1.97 ~ 1.97 cm (12.78"" x 8.44"" x 0.78"" ~ 0.78"")","50WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,MCAFEE_1Y (S1),Chiclet Keyboard,W/FINGERPRINT,"EPEAT Gold with Climate+
Energy star 8.0
FSC Recycled
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX07P2-M00MA0,CX3402CVA-PQ3820,ASUS Chromebook Plus CX34,"Every experience, stepped up","-  180° Lay-Flat Touchscreen with Stylus Support for Flexible Learning and Work
- Ultra-Light 1.4kg Design in Elegant AI Blue with Dual-Tapered Edges
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",,,90NX07P2-M00MA0,CX3402CVA-PQ3820,VSNX07P2-BU1010,"Intel® Core™ i3-1315U Processor 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 cores, 8 Threads)",LPDDR5X 8GB ( 8GB LPDDR5 on board ),256GB UFS,Intel® UHD Graphics,ChromeOS,,"LCD Cover: Rocky Grey, Plastic
Top Case: Rocky Grey, Plastic",No expansion slot,"Front: 1080p FHD camera
Rear: -
With privacy shutter
World-Facing: -","Built-in speaker
Built-in array microphone",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 1 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack","-
Titan C Security Chip",,14.0,LED Back-lit-Narrow border,250nits,FHD 1920X1080 16:9(1.5W),Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)",1.432 Kg,1.24,"32.64 x 21.43 x 1.87 ~ 1.87 cm (12.85"" x 8.44"" x 0.74"" ~ 0.74"")","50WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 45W AC Adapter, Output: 15V DC, 3A, 45W, Input: 100~240V AC 50/60Hz universal",,NON-WINDOWS NO SUPPORT,Backlit Chiclet Keyboard,,"Energy star 8.0
FSC Mix",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
